bin_start,bin_end,total,fast,expanded,solver_fallback,expanded_rate,prime_total,square_total,expanded_primes,expanded_squares,max_t_used,p95_t_used,max_window_used
7450002,7500001,2084,2080,4,0,0.0019193857965451055,3114,9,3,0,253,87,64
7500002,7550001,2083,2077,6,0,0.0028804608737397984,3156,9,4,0,254,87,64
7550002,7600001,2083,2080,3,0,0.0014402304368698992,3148,9,2,1,251,87,64
7600002,7650001,2084,2082,2,0,0.0009596928982725527,3175,9,1,0,256,87,64
7650002,7700001,2083,2080,3,0,0.0014402304368698992,3170,9,3,0,253,85,64
7700002,7750001,2083,2080,3,0,0.0014402304368698992,3116,9,2,1,256,83,64
7750002,7800001,2084,2080,4,0,0.0019193857965451055,3128,9,3,1,253,87,64
7800002,7850001,2083,2079,4,0,0.0019203072491598655,3180,9,2,1,253,79,64
7850002,7900001,2083,2082,1,0,0.00048007681228996637,3173,9,1,0,253,85,64
7900002,7950001,2084,2081,3,0,0.0014395393474088292,3146,9,3,0,253,83,64
7950002,8000001,2083,2079,4,0,0.0019203072491598655,3124,9,4,0,247,77,64
8000002,8050001,2083,2082,1,0,0.00048007681228996637,3122,9,0,1,253,87,64
8050002,8100001,2084,2078,6,0,0.0028790786948176585,3125,9,5,1,253,85,64
8100002,8150001,2083,2079,4,0,0.0019203072491598655,3126,8,3,1,2332,85,64
8150002,8200001,2083,2080,3,0,0.0014402304368698992,3169,9,2,1,253,83,64
8200002,8250001,2084,2082,2,0,0.0009596928982725527,3160,9,2,0,247,83,64
8250002,8300001,2083,2081,2,0,0.0009601536245799327,3118,8,1,1,253,77,64
8300002,8350001,2083,2081,2,0,0.0009601536245799327,3169,9,1,1,254,88,64
8350002,8400001,2084,2080,4,0,0.0019193857965451055,3111,9,2,1,253,87,64
8400002,8450001,2083,2078,5,0,0.002400384061449832,3090,8,4,1,967,89,64
8450002,8500001,2083,2080,3,0,0.0014402304368698992,3152,9,1,1,253,81,64
8500002,8550001,2084,2080,4,0,0.0019193857965451055,3156,9,4,0,253,85,64
8550002,8600001,2083,2079,4,0,0.0019203072491598655,3164,8,4,0,253,82,64
8600002,8650001,2083,2082,1,0,0.00048007681228996637,3127,9,0,1,253,79,64
8650002,8700001,2084,2083,1,0,0.0004798464491362764,3149,8,1,0,256,87,64
8700002,8750001,2083,2082,1,0,0.00048007681228996637,3135,9,0,1,239,77,64
8750002,8800001,2083,2078,5,0,0.002400384061449832,3156,8,3,1,253,83,64
8800002,8850001,2084,2081,3,0,0.0014395393474088292,3107,8,1,2,989,85,64
8850002,8900001,2083,2081,2,0,0.0009601536245799327,3109,9,2,0,253,79,64
8900002,8950001,2083,2082,1,0,0.00048007681228996637,3134,8,0,0,254,75,64
8950002,9000001,2084,2081,3,0,0.0014395393474088292,3133,9,2,1,999,85,64
9000002,9050001,2083,2078,5,0,0.002400384061449832,3067,8,4,1,253,89,64
